cpu,faces,fps,mem,model,timestamp
81.8,1,15.0,70.4,HAAR,2025-04-30 17:14:08
77.0,1,15.0,70.4,HAAR,2025-04-30 17:14:09
82.3,1,15.0,70.4,HAAR,2025-04-30 17:14:10
83.5,1,15.0,70.4,HAAR,2025-04-30 17:14:11
81.4,1,14.7,70.5,HAAR,2025-04-30 17:14:12
79.9,1,15.3,70.4,HAAR,2025-04-30 17:14:13
78.6,1,15.0,70.4,HAAR,2025-04-30 17:14:14
82.3,1,14.9,70.4,HAAR,2025-04-30 17:14:15
75.4,0,14.8,70.4,HAAR,2025-04-30 17:14:16
81.9,1,15.2,70.4,HAAR,2025-04-30 17:14:17
83.0,1,14.9,70.4,HAAR,2025-04-30 17:14:18
77.3,1,14.9,70.4,HAAR,2025-04-30 17:14:19
80.7,1,15.1,70.4,HAAR,2025-04-30 17:14:20
87.8,1,15.0,70.4,HAAR,2025-04-30 17:14:21
88.7,1,14.3,70.4,HAAR,2025-04-30 17:14:22
87.7,1,15.4,70.4,HAAR,2025-04-30 17:14:23
54.5,1,2.0,70.5,DLIB,2025-04-30 17:14:38
60.1,1,5.6,70.6,DLIB,2025-04-30 17:14:39
62.5,1,5.8,70.6,DLIB,2025-04-30 17:14:40
61.0,0,5.7,70.6,DLIB,2025-04-30 17:14:41
61.1,1,5.8,70.5,DLIB,2025-04-30 17:14:42
56.8,1,5.8,70.6,DLIB,2025-04-30 17:14:43
60.9,0,5.8,70.6,DLIB,2025-04-30 17:14:44
60.9,1,5.7,70.6,DLIB,2025-04-30 17:14:45
60.5,1,5.6,70.6,DLIB,2025-04-30 17:14:46
56.7,1,5.9,70.6,DLIB,2025-04-30 17:14:47
62.9,1,5.8,70.6,DLIB,2025-04-30 17:14:48
62.9,1,5.8,70.6,DLIB,2025-04-30 17:14:49
60.9,1,5.7,70.6,DLIB,2025-04-30 17:14:50
59.5,1,5.8,70.6,DLIB,2025-04-30 17:14:51
61.4,1,5.7,70.6,DLIB,2025-04-30 17:14:52
60.7,1,5.7,70.5,DLIB,2025-04-30 17:14:53
57.0,1,5.9,70.6,DLIB,2025-04-30 17:14:54
59.4,1,5.8,70.6,DLIB,2025-04-30 17:14:56
60.3,1,5.8,70.5,DLIB,2025-04-30 17:14:57
60.8,1,5.9,70.6,DLIB,2025-04-30 17:14:58
55.8,1,5.8,70.6,DLIB,2025-04-30 17:14:59
60.4,1,5.8,70.6,DLIB,2025-04-30 17:15:00
60.7,1,5.8,70.6,DLIB,2025-04-30 17:15:01
60.5,1,5.8,70.6,DLIB,2025-04-30 17:15:02
55.4,1,5.8,70.6,DLIB,2025-04-30 17:15:03
61.1,1,5.8,70.5,DLIB,2025-04-30 17:15:04
60.7,1,5.7,70.5,DLIB,2025-04-30 17:15:05
58.8,1,5.7,70.6,DLIB,2025-04-30 17:15:06
57.4,1,5.7,70.6,DLIB,2025-04-30 17:15:07
61.4,1,5.8,70.6,DLIB,2025-04-30 17:15:08
61.2,1,5.8,70.6,DLIB,2025-04-30 17:15:09
58.0,1,5.8,70.6,DLIB,2025-04-30 17:15:10
60.2,1,5.8,70.6,DLIB,2025-04-30 17:15:11
60.5,1,5.6,70.6,DLIB,2025-04-30 17:15:12
60.8,1,5.7,70.6,DLIB,2025-04-30 17:15:13
56.8,1,5.8,70.6,DLIB,2025-04-30 17:15:14
63.0,1,5.8,70.6,DLIB,2025-04-30 17:15:15
62.4,1,5.8,70.6,DLIB,2025-04-30 17:15:16
62.7,1,5.7,70.6,DLIB,2025-04-30 17:15:17
58.2,1,5.7,70.6,DLIB,2025-04-30 17:15:18
60.1,1,5.7,70.6,DLIB,2025-04-30 17:15:19
63.5,1,5.7,70.5,DLIB,2025-04-30 17:15:20
63.1,1,5.8,70.6,DLIB,2025-04-30 17:15:21
55.5,0,4.9,70.4,MFN,2025-04-30 17:15:37
82.8,1,17.5,70.5,MFN,2025-04-30 17:15:38
82.2,1,15.0,70.5,MFN,2025-04-30 17:15:39
82.4,1,15.1,70.5,MFN,2025-04-30 17:15:40
77.3,0,15.0,70.5,MFN,2025-04-30 17:15:41
81.5,1,15.0,70.5,MFN,2025-04-30 17:15:42
82.3,1,14.9,70.5,MFN,2025-04-30 17:15:43
78.7,1,14.9,70.5,MFN,2025-04-30 17:15:44
77.6,1,15.2,70.5,MFN,2025-04-30 17:15:45
79.5,1,14.9,70.5,MFN,2025-04-30 17:15:46
82.9,1,14.6,70.5,MFN,2025-04-30 17:15:47
80.9,1,15.4,70.5,MFN,2025-04-30 17:15:48
81.7,0,15.0,70.5,MFN,2025-04-30 17:15:49
79.6,0,15.0,70.5,MFN,2025-04-30 17:15:50
76.6,1,15.0,70.5,MFN,2025-04-30 17:15:51
78.7,1,15.1,70.5,MFN,2025-04-30 17:15:52
79.5,1,14.9,70.5,MFN,2025-04-30 17:15:53
79.6,1,14.9,70.5,MFN,2025-04-30 17:15:54
76.5,1,15.1,70.5,MFN,2025-04-30 17:15:55
80.6,1,15.0,70.5,MFN,2025-04-30 17:15:56
80.6,1,15.0,70.5,MFN,2025-04-30 17:15:57
75.9,1,14.9,70.5,MFN,2025-04-30 17:15:58
81.1,1,15.1,70.5,MFN,2025-04-30 17:15:59
82.3,1,15.0,70.5,MFN,2025-04-30 17:16:01
78.0,1,14.6,70.5,MFN,2025-04-30 17:16:02
79.2,1,15.3,70.5,MFN,2025-04-30 17:16:03
80.2,1,15.0,70.5,MFN,2025-04-30 17:16:04
85.3,0,14.9,70.6,MFN,2025-04-30 17:16:05
75.0,0,15.1,70.6,MFN,2025-04-30 17:16:06
78.3,1,15.0,70.5,MFN,2025-04-30 17:16:07
80.6,0,15.1,70.5,MFN,2025-04-30 17:16:08
76.6,0,14.8,70.5,MFN,2025-04-30 17:16:09
76.7,1,15.1,70.5,MFN,2025-04-30 17:16:10
80.6,1,15.0,70.5,MFN,2025-04-30 17:16:11
79.8,1,14.9,70.5,MFN,2025-04-30 17:16:12
76.0,1,15.1,70.5,MFN,2025-04-30 17:16:13
84.0,1,14.8,70.5,MFN,2025-04-30 17:16:14
86.4,1,15.2,70.5,MFN,2025-04-30 17:16:15
82.9,1,14.8,70.5,MFN,2025-04-30 17:16:16
81.5,1,15.2,70.5,MFN,2025-04-30 17:16:17
82.4,1,15.0,70.5,MFN,2025-04-30 17:16:18
