fps,cpu_usage,mem_usage,face_count,detector,timestamp
0.8914198030049764,17.4,88.6,1,MTCNN,1.1258018016815186
0.8914198030049764,17.4,88.6,1,MTCNN,1.486678123474121
0.8914198030049764,17.4,88.6,1,MTCNN,1.7198505401611328
0.8914198030049764,17.4,88.6,1,MTCNN,1.9488799571990967
3.7353033834595673,15.6,88.9,1,MTCNN,2.1956729888916016
3.7353033834595673,15.6,88.9,1,MTCNN,2.436893939971924
3.7353033834595673,15.6,88.9,1,MTCNN,2.6726133823394775
3.7353033834595673,15.6,88.9,1,MTCNN,2.9140801429748535
3.7353033834595673,15.6,88.9,1,MTCNN,3.1563851833343506
4.151414902360731,15.6,88.8,1,MTCNN,3.400080680847168
4.151414902360731,15.6,88.8,1,MTCNN,3.625302314758301
4.151414902360731,15.6,88.8,1,MTCNN,3.8583810329437256
4.151414902360731,15.6,88.8,1,MTCNN,4.087161540985107
4.151414902360731,15.6,88.8,1,MTCNN,4.310918092727661
4.399353465681971,17.3,88.8,1,MTCNN,4.53561806678772
4.399353465681971,17.3,88.8,1,MTCNN,4.765134811401367
4.399353465681971,17.3,88.8,1,MTCNN,4.986020088195801
4.399353465681971,17.3,88.8,1,MTCNN,5.202295780181885
4.399353465681971,17.3,88.8,1,MTCNN,5.425297021865845
4.415785679152096,14.7,88.8,1,MTCNN,5.667807102203369
4.415785679152096,14.7,88.8,1,MTCNN,5.9055092334747314
4.415785679152096,14.7,88.8,1,MTCNN,6.131418466567993
4.415785679152096,14.7,88.8,1,MTCNN,6.373750925064087
4.415785679152096,14.7,88.8,1,MTCNN,6.6017279624938965
4.243358067936965,14.2,88.9,1,MTCNN,6.846218824386597
4.243358067936965,14.2,88.9,1,MTCNN,7.087242603302002
4.243358067936965,14.2,88.9,1,MTCNN,7.315020561218262
4.243358067936965,14.2,88.9,1,MTCNN,7.547511577606201
4.243358067936965,14.2,88.9,1,MTCNN,7.780474662780762
4.272542803823618,15.6,88.9,1,MTCNN,8.017712354660034
4.272542803823618,15.6,88.9,1,MTCNN,8.253009796142578
4.272542803823618,15.6,88.9,1,MTCNN,8.48668360710144
4.272542803823618,15.6,88.9,1,MTCNN,8.730631828308105
4.272542803823618,15.6,88.9,1,MTCNN,8.958111047744751
4.242485054264268,17.2,88.9,1,MTCNN,9.196035623550415
4.242485054264268,17.2,88.9,1,MTCNN,9.431573390960693
4.242485054264268,17.2,88.9,1,MTCNN,9.657313108444214
4.242485054264268,17.2,88.9,1,MTCNN,9.89124608039856
4.242485054264268,17.2,88.9,1,MTCNN,10.131916999816895
4.291511016023959,15.0,88.9,1,MTCNN,10.361129760742188
4.291511016023959,15.0,88.9,1,MTCNN,10.599422931671143
4.291511016023959,15.0,88.9,1,MTCNN,10.827166557312012
